entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
1.12475,1.12746,0.04991,2192,2199,0.13529,27.10698,take_profit
1.12769,1.12642,0.04992,2200,2208,-0.06339,-12.7,model_exit
1.12245,1.12517,0.04534,2232,2277,0.1232,27.17377,take_profit
1.1254,1.12397,0.04627,2279,2304,-0.06624,-14.31807,stop_loss
1.12804,1.13075,0.04536,2340,2360,0.12308,27.13727,take_profit
1.13182,1.13455,0.0458,2361,2377,0.12509,27.31285,take_profit
1.12787,1.13056,0.04993,2532,2550,0.13441,26.9215,take_profit
1.13136,1.13407,0.04992,2551,2576,0.1351,27.06044,take_profit
1.14119,1.13975,0.04992,2647,2668,-0.07189,-14.40056,stop_loss
1.13261,1.13348,0.04532,2813,2818,0.03943,8.7,model_exit
1.12983,1.1284,0.04995,2878,2917,-0.07137,-14.28785,stop_loss
1.121,1.12371,0.04905,2919,2921,0.13313,27.14392,take_profit
1.1349,1.13765,0.04994,2972,2991,0.13749,27.53151,take_profit
1.13462,1.13733,0.04991,3102,3118,0.13503,27.05129,take_profit
1.14043,1.14316,0.04993,3139,3149,0.13637,27.31352,take_profit
1.14321,1.14177,0.04992,3150,3156,-0.07198,-14.41892,stop_loss
1.14355,1.14209,0.04532,3197,3222,-0.06626,-14.61899,stop_loss
1.13701,1.13729,0.04535,3293,3297,0.0127,2.8,model_exit
1.14304,1.14246,0.04997,3363,3369,-0.02899,-5.8,model_exit
1.14147,1.14285,0.04529,3389,3404,0.0625,13.8,model_exit
1.13762,1.14036,0.04994,3550,3553,0.13684,27.4,model_exit
1.13929,1.14028,0.04992,3581,3587,0.04942,9.9,model_exit
1.14169,1.1432,0.0499,3677,3690,0.07535,15.1,model_exit
1.14453,1.14309,0.04992,3742,3748,-0.07202,-14.4258,stop_loss
1.14235,1.14088,0.04527,3773,3792,-0.06648,-14.68673,stop_loss
1.14684,1.14964,0.04536,3837,3856,0.12678,27.95084,take_profit
1.14834,1.15109,0.04996,3869,3882,0.13729,27.47945,take_profit
1.15206,1.15482,0.04996,3884,3917,0.13807,27.63798,take_profit
1.15571,1.15849,0.04991,3918,3922,0.13897,27.84224,take_profit
1.15811,1.16091,0.04991,3923,3931,0.13988,28.0266,take_profit
1.15858,1.15712,0.0499,3965,3977,-0.07302,-14.63159,stop_loss
1.15631,1.15483,0.04533,4038,4046,-0.0672,-14.82491,stop_loss
1.15296,1.15575,0.04532,4062,4099,0.12644,27.89733,take_profit
1.1573,1.16011,0.04582,4100,4129,0.12866,28.07766,take_profit
1.15602,1.15434,0.04991,4157,4226,-0.08397,-16.82266,stop_loss
1.15108,1.14962,0.04949,4227,4239,-0.07222,-14.59365,stop_loss
1.14839,1.15117,0.04533,4253,4290,0.12598,27.79203,take_profit
1.14773,1.14627,0.04994,4349,4368,-0.07314,-14.64499,stop_loss
1.14528,1.14804,0.04952,4369,4406,0.13677,27.61873,take_profit
1.14968,1.15244,0.04996,4438,4472,0.13774,27.57163,take_profit
1.14664,1.14941,0.04993,4541,4550,0.13814,27.66523,take_profit
1.14558,1.14834,0.04992,4590,4607,0.13802,27.64943,take_profit
1.15195,1.15474,0.04991,4609,4614,0.13919,27.88738,take_profit
1.15445,1.15725,0.04991,4615,4627,0.13951,27.95054,take_profit
1.15738,1.16018,0.04992,4628,4646,0.13963,27.97244,take_profit
1.16063,1.16334,0.04977,4733,4814,0.13506,27.13619,take_profit
1.1642,1.16699,0.04993,4816,4837,0.13927,27.89501,take_profit
1.16828,1.17107,0.04993,4840,4873,0.13952,27.94428,take_profit
1.17289,1.17141,0.04992,4874,4885,-0.07398,-14.82123,stop_loss
1.16985,1.16834,0.04528,4925,4931,-0.06815,-15.05079,stop_loss
1.32602,1.32432,0.04535,4951,4963,-0.07717,-17.01627,stop_loss
1.32341,1.32171,0.04538,4967,4973,-0.07732,-17.0391,stop_loss
1.32205,1.32365,0.04537,4974,4994,0.07259,16.0,model_exit
