time,open,high,low,close,tick_volume,spread,real_volume
2023-06-01 23:30:00,138.781,138.826,138.781,138.817,207,3,0
2023-06-01 23:45:00,138.817,138.819,138.804,138.806,94,3,0
2023-06-02 00:00:00,138.78,138.796,138.745,138.796,35,31,0
2023-06-02 00:15:00,138.808,138.833,138.787,138.8,56,30,0
2023-06-02 00:30:00,138.8,138.82,138.776,138.812,190,6,0
2023-06-02 00:45:00,138.811,138.817,138.791,138.809,72,15,0
2023-06-02 01:00:00,138.802,138.807,138.748,138.751,309,10,0
2023-06-02 01:15:00,138.749,138.77,138.704,138.766,264,8,0
2023-06-02 01:30:00,138.766,138.792,138.753,138.76,177,3,0
2023-06-02 01:45:00,138.76,138.782,138.746,138.749,250,3,0
2023-06-02 02:00:00,138.748,138.783,138.736,138.781,607,2,0
2023-06-02 02:15:00,138.782,138.831,138.781,138.815,315,2,0
2023-06-02 02:30:00,138.815,138.82,138.783,138.811,317,2,0
2023-06-02 02:45:00,138.811,138.836,138.726,138.742,520,0,0
2023-06-02 03:00:00,138.74,138.789,138.659,138.78,1185,2,0
2023-06-02 03:15:00,138.779,138.928,138.778,138.864,682,2,0
2023-06-02 03:30:00,138.864,138.912,138.821,138.845,796,2,0
2023-06-02 03:45:00,138.846,138.974,138.818,138.952,973,2,0
2023-06-02 04:00:00,138.952,139.052,138.912,138.981,828,2,0
2023-06-02 04:15:00,138.982,138.995,138.923,138.948,464,2,0
2023-06-02 04:30:00,138.948,138.955,138.86,138.876,643,2,0
2023-06-02 04:45:00,138.877,138.891,138.82,138.868,802,2,0
2023-06-02 05:00:00,138.872,138.873,138.814,138.854,659,2,0
2023-06-02 05:15:00,138.854,138.877,138.818,138.827,344,2,0
2023-06-02 05:30:00,138.827,138.827,138.758,138.761,444,2,0
2023-06-02 05:45:00,138.761,138.788,138.739,138.743,456,2,0
2023-06-02 06:00:00,138.742,138.742,138.644,138.681,614,2,0
2023-06-02 06:15:00,138.681,138.686,138.604,138.654,339,2,0
2023-06-02 06:30:00,138.654,138.756,138.653,138.732,731,2,0
2023-06-02 06:45:00,138.729,138.744,138.71,138.739,535,2,0
2023-06-02 07:00:00,138.736,138.838,138.731,138.811,652,0,0
2023-06-02 07:15:00,138.811,138.847,138.796,138.841,468,0,0
2023-06-02 07:30:00,138.838,138.891,138.797,138.863,688,0,0
2023-06-02 07:45:00,138.862,138.929,138.86,138.911,842,0,0
2023-06-02 08:00:00,138.911,138.97,138.91,138.931,620,0,0
2023-06-02 08:15:00,138.93,139.005,138.93,139.002,634,0,0
2023-06-02 08:30:00,139.002,139.024,138.922,138.93,660,0,0
