time,open,high,low,close,tick_volume,spread,real_volume
2023-05-31 19:30:00,0.64619,0.64625,0.64583,0.64603,989,0,0
2023-05-31 19:45:00,0.64603,0.64654,0.64599,0.64652,512,0,0
2023-05-31 20:00:00,0.64652,0.64672,0.64629,0.64653,415,1,0
2023-05-31 20:15:00,0.64653,0.64724,0.64644,0.64724,621,1,0
2023-05-31 20:30:00,0.64725,0.64982,0.64717,0.64949,1105,0,0
2023-05-31 20:45:00,0.64948,0.64978,0.64905,0.64919,1048,0,0
2023-05-31 21:00:00,0.64918,0.64968,0.64916,0.64959,941,0,0
2023-05-31 21:15:00,0.6496,0.64978,0.64938,0.64972,812,0,0
2023-05-31 21:30:00,0.64969,0.64984,0.64938,0.64979,585,0,0
2023-05-31 21:45:00,0.64979,0.64979,0.64903,0.64941,635,0,0
2023-05-31 22:00:00,0.64941,0.64989,0.64913,0.64983,879,0,0
2023-05-31 22:15:00,0.64981,0.64999,0.64963,0.64983,631,1,0
2023-05-31 22:30:00,0.64983,0.65046,0.64964,0.65039,569,0,0
2023-05-31 22:45:00,0.65038,0.65056,0.65014,0.65034,647,1,0
2023-05-31 23:00:00,0.65034,0.65051,0.65025,0.65029,476,1,0
2023-05-31 23:15:00,0.6503,0.6504,0.65016,0.65033,323,1,0
2023-05-31 23:30:00,0.65034,0.65034,0.65004,0.65007,314,2,0
2023-05-31 23:45:00,0.65007,0.65035,0.65004,0.65035,141,1,0
2023-06-01 00:00:00,0.65026,0.65026,0.64899,0.64991,75,24,0
2023-06-01 00:15:00,0.64994,0.65029,0.64974,0.64988,218,17,0
2023-06-01 00:30:00,0.64988,0.65017,0.64986,0.65015,103,15,0
2023-06-01 00:45:00,0.65015,0.65018,0.65001,0.65004,188,13,0
2023-06-01 01:00:00,0.65004,0.65032,0.65004,0.65032,164,3,0
2023-06-01 01:15:00,0.65027,0.65044,0.65022,0.65042,203,3,0
2023-06-01 01:30:00,0.65041,0.65071,0.65038,0.65066,251,2,0
2023-06-01 01:45:00,0.65066,0.65091,0.65062,0.65071,282,1,0
2023-06-01 02:00:00,0.6507,0.65088,0.65066,0.65081,385,0,0
2023-06-01 02:15:00,0.65081,0.65097,0.65072,0.65087,351,0,0
2023-06-01 02:30:00,0.65088,0.65093,0.65056,0.65093,243,0,0
2023-06-01 02:45:00,0.65093,0.65094,0.65061,0.65062,248,0,0
2023-06-01 03:00:00,0.65062,0.65079,0.65038,0.65065,571,0,0
2023-06-01 03:15:00,0.65063,0.65068,0.65022,0.65022,424,0,0
2023-06-01 03:30:00,0.65022,0.65022,0.64965,0.64972,508,0,0
2023-06-01 03:45:00,0.64972,0.6498,0.64926,0.64926,573,0,0
2023-06-01 04:00:00,0.64926,0.64956,0.6489,0.64913,648,0,0
2023-06-01 04:15:00,0.64913,0.64956,0.64875,0.6494,732,0,0
2023-06-01 04:30:00,0.64941,0.64951,0.64845,0.64865,713,0,0
2023-06-01 04:45:00,0.64864,0.65091,0.6486,0.65067,1927,0,0
2023-06-01 05:00:00,0.65067,0.65069,0.65017,0.6504,889,0,0
2023-06-01 05:15:00,0.65036,0.65054,0.64971,0.64987,734,0,0
2023-06-01 05:30:00,0.64988,0.65103,0.64988,0.65099,779,0,0
2023-06-01 05:45:00,0.65097,0.65153,0.65077,0.65123,623,0,0
2023-06-01 06:00:00,0.65123,0.65158,0.65083,0.65117,726,0,0
2023-06-01 06:15:00,0.65118,0.65132,0.65087,0.651,383,0,0
2023-06-01 06:30:00,0.65099,0.65146,0.65093,0.65141,502,0,0
2023-06-01 06:45:00,0.65138,0.6515,0.6512,0.65145,413,0,0
2023-06-01 07:00:00,0.65145,0.65145,0.65116,0.65131,302,0,0
2023-06-01 07:15:00,0.65131,0.65198,0.65128,0.65188,359,0,0
2023-06-01 07:30:00,0.65188,0.65198,0.65153,0.65155,269,0,0
2023-06-01 07:45:00,0.65155,0.65182,0.65143,0.65146,285,0,0
2023-06-01 08:00:00,0.65146,0.65183,0.65135,0.6515,471,0,0
2023-06-01 08:15:00,0.65152,0.65189,0.65146,0.65174,391,0,0
2023-06-01 08:30:00,0.65174,0.65185,0.65104,0.65112,446,0,0
2023-06-01 08:45:00,0.65113,0.65146,0.65103,0.65114,522,0,0
2023-06-01 09:00:00,0.65114,0.65125,0.65088,0.651,802,0,0
2023-06-01 09:15:00,0.65101,0.65109,0.65074,0.65094,669,0,0
2023-06-01 09:30:00,0.65093,0.65108,0.65054,0.65061,644,0,0
2023-06-01 09:45:00,0.65061,0.65081,0.6503,0.65036,819,0,0
2023-06-01 10:00:00,0.65035,0.65049,0.64949,0.6497,1183,0,0
2023-06-01 10:15:00,0.64971,0.64982,0.64922,0.64925,782,0,0
2023-06-01 10:30:00,0.64925,0.64946,0.64871,0.64892,824,0,0
2023-06-01 10:45:00,0.64892,0.64916,0.64863,0.64914,821,0,0
2023-06-01 11:00:00,0.64914,0.64958,0.64882,0.6495,1280,0,0
2023-06-01 11:15:00,0.64951,0.64997,0.64939,0.64993,755,0,0
2023-06-01 11:30:00,0.64991,0.65012,0.64979,0.64996,558,0,0
2023-06-01 11:45:00,0.64994,0.65053,0.64994,0.65047,514,0,0
2023-06-01 12:00:00,0.65046,0.65051,0.6501,0.65046,593,0,0
2023-06-01 12:15:00,0.65046,0.65053,0.65012,0.65031,426,0,0
2023-06-01 12:30:00,0.65031,0.65067,0.65031,0.65063,581,0,0
2023-06-01 12:45:00,0.65063,0.65163,0.6506,0.65158,761,0,0
2023-06-01 13:00:00,0.65158,0.65186,0.65149,0.65175,623,0,0
2023-06-01 13:15:00,0.65175,0.65205,0.65172,0.6519,620,0,0
2023-06-01 13:30:00,0.6519,0.65217,0.6519,0.65209,621,0,0
2023-06-01 13:45:00,0.65209,0.65229,0.65195,0.65213,454,0,0
2023-06-01 14:00:00,0.65213,0.65263,0.65213,0.65256,591,0,0
2023-06-01 14:15:00,0.65256,0.65266,0.65177,0.65179,712,0,0
2023-06-01 14:30:00,0.65179,0.65254,0.65179,0.65248,488,0,0
2023-06-01 14:45:00,0.65249,0.65257,0.65223,0.65247,509,0,0
2023-06-01 15:00:00,0.65246,0.65262,0.65182,0.65193,669,0,0
2023-06-01 15:15:00,0.65199,0.65244,0.65087,0.6514,1859,0,0
2023-06-01 15:30:00,0.65138,0.65281,0.65128,0.6526,1916,0,0
2023-06-01 15:45:00,0.65261,0.65306,0.65229,0.6528,1114,0,0
